Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
07/11/2018,ProShares Short VIX Short-Term Futures ETF,SVXY,53.7972,54.8248,-1.87433,-1.0276,10337.5,556128555
07/10/2018,ProShares Short VIX Short-Term Futures ETF,SVXY,54.8248,54.3604,0.85430,0.4644,10337.5,566751370
07/09/2018,ProShares Short VIX Short-Term Futures ETF,SVXY,54.3604,52.8396,2.87814,1.5208,10337.5,561950635
07/06/2018,ProShares Short VIX Short-Term Futures ETF,SVXY,52.8396,51.7076,2.18923,1.132,10337.5,546229365
07/05/2018,ProShares Short VIX Short-Term Futures ETF,SVXY,51.7076,50.5376,2.31511,1.17,10337.5,534527315
07/03/2018,ProShares Short VIX Short-Term Futures ETF,SVXY,50.5376,51.1308,-1.16016,-0.5932,10337.5,522432440
07/02/2018,ProShares Short VIX Short-Term Futures ETF,SVXY,51.1308,51.1016,0.05714,0.0292,10337.5,528564645
06/29/2018,ProShares Short VIX Short-Term Futures ETF,SVXY,51.1016,50.5092,1.17286,0.5924,10337.5,528262790
06/28/2018,ProShares Short VIX Short-Term Futures ETF,SVXY,50.5092,49.9684,1.08228,0.5408,10337.5,522138855
06/27/2018,ProShares Short VIX Short-Term Futures ETF,SVXY,49.9684,51.5404,-3.05003,-1.572,10337.5,516548335
06/26/2018,ProShares Short VIX Short-Term Futures ETF,SVXY,51.5404,50.9424,1.17387,0.598,10337.5,532798885
06/25/2018,ProShares Short VIX Short-Term Futures ETF,SVXY,50.9424,54.2908,-6.16753,-3.3484,10337.5,526617060
06/22/2018,ProShares Short VIX Short-Term Futures ETF,SVXY,54.2908,53.536,1.40989,0.7548,10337.5,561231145
06/21/2018,ProShares Short VIX Short-Term Futures ETF,SVXY,53.536,55.3916,-3.34997,-1.8556,10337.5,553428400
06/20/2018,ProShares Short VIX Short-Term Futures ETF,SVXY,55.3916,54.8152,1.05153,0.5764,10337.5,572610665
06/19/2018,ProShares Short VIX Short-Term Futures ETF,SVXY,54.8152,55.9768,-2.07515,-1.1616,10337.5,566652130
06/18/2018,ProShares Short VIX Short-Term Futures ETF,SVXY,55.9768,55.9044,0.12951,0.0724,10337.5,578660170
06/15/2018,ProShares Short VIX Short-Term Futures ETF,SVXY,55.9044,55.9728,-0.12220,-0.0684,10337.5,577911735
