Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
03/16/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,72.072,73.944,-2.53165,-1.872,4575.45,329761660.1959685717712
03/15/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,73.944,77.721,-4.85969,-3.777,4555.45,336848018.1231365866224
03/14/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,77.721,75.047,3.56310,2.674,4555.45,354053943.7486246165866
03/13/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,75.047,72.3415,3.73990,2.7055,5015.45,376394296.8377019287062
03/12/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,72.3415,69.9635,3.39892,2.378,5015.45,362825003.3270432405759
03/09/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,69.9635,77.993,-10.29515,-8.0295,4945.45,346000823.9088778883771
03/08/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,77.993,81.8605,-4.72450,-3.8675,3405.45,265601075.4987259520778
03/07/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,81.8605,83.99,-2.53542,-2.1295,3405.45,278771644.1329793160933
03/06/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,83.99,83.2605,0.87617,0.7295,3365.45,282663944.819893999654
03/05/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,83.2605,87.488,-4.83209,-4.2275,3215.45,267719775.7879126605333
03/02/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,87.488,92.525,-5.44393,-5.037,3135.45,274314040.5620060274048
03/01/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,92.525,84.541,9.44394,7.984,3495.45,323416290.176934067365
02/28/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,84.541,78.3165,7.94788,6.2245,4365.45,369059306.4533713373586
02/27/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,78.3165,67.942,15.26964,10.3745,4935.45,386526982.8007766213109
02/26/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,67.942,73.5705,-7.65048,-5.6285,5035.45,342118381.5639152056732
02/23/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,73.5705,84.4555,-12.88844,-10.885,4665.45,343239313.4405525836593
02/22/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,84.4555,89.207,-5.32638,-4.7515,3545.45,299432550.6826593366803
02/21/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,89.207,87.22,2.27815,1.987,3215.45,286840435.0047420410422
02/20/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,87.22,81.9005,6.49508,5.3195,3035.45,264751740.602347358612
02/16/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,81.9005,79.855,2.56152,2.0455,3545.45,290373932.0374059830773
02/15/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,79.855,83.156,-3.96965,-3.301,3315.45,264755068.949787300183
02/14/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,83.156,103.585,-19.72197,-20.429,2905.45,241605401.5125979930376
02/13/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,103.585,103.8995,-0.30270,-0.3145,2515.45,260562640.750907488441
02/12/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,103.8995,111.0665,-6.45289,-7.167,2355.45,244729829.0244621576027
02/09/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,111.0665,124.0105,-10.43783,-12.944,2435.45,270496642.0501102144609
02/08/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,124.0105,100.8905,22.91593,23.12,3515.45,435952415.9225796504833
02/07/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,100.8905,110.811,-8.95263,-9.9205,4495.45,453547957.1639661337313
02/06/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,110.811,205.778,-46.15022,-94.967,4505.45,499253155.1855848791006
02/05/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,205.778,70.442,192.12402,135.336,5205.45,1071166598.4277669658388
02/02/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,70.442,55.0425,27.97747,15.3995,5925.45,417400380.5905818921732
02/01/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,55.0425,56.9515,-3.35197,-1.909,6165.45,339361650.1101204366705
01/31/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,56.9515,60.85,-6.40674,-3.8985,5935.45,338032644.5988831184819
01/30/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,60.85,57.805,5.26771,3.045,6095.45,370907987.10906714941
01/29/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,57.805,49.766,16.15360,8.039,7025.45,406105999.134587125253
01/26/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,49.766,50.145,-0.75581,-0.379,7125.45,354605025.7924377281436
01/25/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,50.145,48.8125,2.72983,1.3325,7125.45,357305570.436880397817
01/24/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,48.8125,46.978,3.90502,1.8345,7195.45,351227786.4956670539125
01/23/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,46.978,45.681,2.83925,1.297,7445.45,349772237.8538990393588
01/22/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,45.681,46.393,-1.53471,-0.712,7715.45,352449362.3028643624026
01/19/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,46.393,47.652,-2.64207,-1.259,7715.45,357942761.0016590347178
01/18/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,47.652,47.956,-0.63391,-0.304,7625.45,363367829.5434883780392
01/17/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,47.956,47.5625,0.82733,0.3935,7775.45,372879365.6171310471176
01/16/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,47.5625,44.168,7.68543,3.3945,8015.45,381234726.9823337106625
01/12/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,44.168,43.4115,1.74263,0.7565,8755.45,386710610.0679256837328
01/11/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,43.4115,43.548,-0.31345,-0.1365,9605.45,416986888.9504563443979
01/10/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,43.548,44.929,-3.07374,-1.381,9545.45,415685152.5493123454808
01/09/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,44.929,43.927,2.28106,1.002,9295.45,417635165.6996430231034
01/08/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,43.927,44.183,-0.57941,-0.256,9225.45,405246237.1937550151542
01/05/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,44.183,44.979,-1.76971,-0.796,9205.45,406724291.7820856838518
01/04/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,44.979,45.359,-0.83776,-0.38,8955.45,402807078.0801763568334
01/03/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,45.359,46.812,-3.10390,-1.453,8225.45,373098078.1722296931814
01/02/2018,ProShares Ultra VIX Short-Term Futures ETF,UVXY,46.812,51.681,-9.42126,-4.869,7945.45,371942293.5505283713752
12/29/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,51.681,49.6935,3.99952,1.9875,7625.45,394090757.9668644100026
12/28/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,49.6935,50.437,-1.47412,-0.7435,7615.45,378438245.8406643942351
12/27/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,50.437,50.4445,-0.01487,-0.0075,7615.45,384100331.1391950668002
12/26/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,50.4445,51.1745,-1.42649,-0.73,7925.45,399795241.9962750668597
12/22/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,51.1745,49.535,3.30978,1.6395,7925.45,405580818.7520617393177
12/21/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,49.535,51.27,-3.38405,-1.735,7865.45,389614947.394373726311
12/20/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,51.27,50.38,1.76657,0.89,8065.45,413515498.998880406742
12/19/2017,ProShares Ultra VIX Short-Term Futures ETF,UVXY,50.38,50.308,0.14312,0.072,7845.45,395253650.625387066348
